ID_CULTIVO,USUARIO,PRODUCTOR,LAT_LOTE,LONG_LOTE,DEPARTAMENTO,CIUDAD,FECHA_SIEMBRA,FECHA_COSECHA
1529,usuario 5,productor 1,6.614722222,-73.10202778,SANTANDER,CURITÍ,9/2/2014,12/30/2014
1532,usuario 5,productor 1,6.613333333,-73.10044444,SANTANDER,CURITÍ,9/2/2014,12/30/2014
1537,usuario 2,productor 10,6.598638889,-73.10483333,SANTANDER,CURITÍ,8/25/2014,12/26/2014
1230,usuario 1,productor 11,6.636138889,-73.11969444,SANTANDER,SAN GIL,9/20/2014,12/30/2014
1234,usuario 1,productor 12,6.6205,-73.12008333,SANTANDER,SAN GIL,9/20/2014,12/29/2014
1236,usuario 1,productor 13,6.648722222,-73.11094444,SANTANDER,SAN GIL,10/2/2014,12/29/2014
1237,usuario 1,productor 14,6.63625,-73.11991667,SANTANDER,SAN GIL,9/20/2014,12/30/2014
1238,usuario 1,productor 15,6.636277778,-73.12094444,SANTANDER,SAN GIL,10/5/2014,12/29/2014
1239,usuario 1,productor 16,6.61225,-73.05252778,SANTANDER,SAN GIL,9/20/2014,12/28/2014
1292,usuario 1,productor 17,6.620388889,-73.1205,SANTANDER,SAN GIL,9/20/2014,12/30/2014
1293,usuario 1,productor 18,6.620916667,-73.12038889,SANTANDER,SAN GIL,9/17/2014,12/30/2014
1313,usuario 1,productor 19,6.62375,-73.12508333,SANTANDER,SAN GIL,9/15/2014,12/30/2014
1400,usuario 3,productor 2,6.559166667,-73.21666667,SANTANDER,BARICHARA,8/30/2014,12/9/2014
1328,usuario 2,productor 20,6.633265877,-73.16804384,SANTANDER,VILLANUEVA,9/24/2014,12/18/2014
1531,usuario 3,productor 3,6.589138889,-73.20222222,SANTANDER,BARICHARA,9/2/2014,12/19/2014
1534,usuario 3,productor 3,6.588722222,-73.20186111,SANTANDER,BARICHARA,9/2/2014,12/19/2014
1535,usuario 3,productor 4,6.590388889,-73.21727778,SANTANDER,BARICHARA,8/18/2014,11/20/2014
1538,usuario 3,productor 5,6.595388889,-73.19277778,SANTANDER,BARICHARA,9/2/2014,12/26/2014
1386,usuario 4,productor 6,6.656025859,-73.11837375,SANTANDER,VILLANUEVA,9/12/2014,12/26/2014
1530,usuario 2,productor 7,6.599347542,-73.10382249,SANTANDER,CURITÍ,9/23/2014,12/26/2014
1533,usuario 2,productor 8,6.595611111,-73.10080556,SANTANDER,CURITÍ,9/2/2014,12/27/2014
1536,usuario 2,productor 9,6.599666667,-73.10616667,SANTANDER,CURITÍ,10/2/2014,12/27/2014
